"","x"
"1081","t_ascendant"
"1082","t_essentially"
"1083","t_guardian"
"1084","t_angel"
"1085","t_16"
"1086","t_ascendants"
"1087","t_2018shift"
"1088","t_16ascendants"
"1089","t_rtrrt"
"1090","t_surv"
"1091","t_blackpanther"
"1092","t_mosquemetoo"
"1093","t_illuminati"
"1094","t_visegrad"
"1095","t_120db"
"1096","t_eu"
"1097","t_orban"
"1098","t_prep"
"1099","t_wakanda"
"1100","t_contracts"
"1101","t_matters"
"1102","t_gunreformnow"
"1103","t_banassaultweapons"
"1104","t_march4ourlives"
"1105","t_nbcnews"
"1106","t_resolutions"
"1107","t_thoughtsandprayers"
"1108","t_xf0x9fx94xa5no"
"1109","t_suffer"
"1110","t_addiction"
"1111","t_httpstcotrcq39zwwt"
"1112","t_parklandstudentsspeak"
"1113","t_neveragainmsd"
"1114","t_donlemon"
"1115","t_votethemout"
"1116","t_now"
"1117","t_httpstcoovhopd6kas"
"1118","t_changed"
"1119","t_studentsstandup"
"1120","t_httpstcolbo5tfbldr"
"1121","t_improve"
"1122","t_stalled"
"1123","t_senmikelee"
"1124","t_utah"
"1125","t_placed"
"1126","t_passage"
"1127","t_lee"
"1128","t_wthe"
"1129","t_luv"
"1130","t_presssec"
"1131","t_impeachtrump"
"1132","t_voices"
"1133","t_standingrock"
"1134","t_blacklivesmatter"
"1135","t_httpstcoyhlxa2yope"
"1136","t_reuters"
"1137","t_ixe2x80x99d"
"1138","t_2amendment"
"1139","t_could"
"1140","t_patriots"
"1141","t_couple"
"1142","t_selfdefense"
"1143","t_ad"
"1144","t_shooters"
"1145","t_oldaggie84"
"1146","t_robin1027p"
"1147","t_grenades"
"1148","t_tanks"
"1149","t_continued"
"1150","t_wouldnxe2x80x99t"
"1151","t_bullshit"
"1152","t_passed"
"1153","t_stricter"
"1154","t_equipped"
"1155","t_hillxe2x80x9d"
"1156","t_documentary"
"1157","t_frontlinepbs"
"1158","t_detailing"
"1159","t_sphere"
"1160","t_recently"
"1161","t_nearly"
"1162","t_domestically"
"1163","t_guard"
"1164","t_emmabedorhiland"
"1165","t_acts"
"1166","t_actiondirectdig"
"1167","t_mzunderstood2u"
"1168","t_mcarlisle78"
"1169","t_msktweetstruth"
"1170","t_consciousheir"
"1171","t_jettawillrise"
"1172","t_fullyawakeright"
"1173","t_tempusfugittx"
"1174","t_s_tamikah"
"1175","t_salmadey"
"1176","t_atlpartycrasher"
"1177","t_ghostofgarvey"
"1178","t_fresh_flames1"
"1179","t_mznatturner"
"1180","t_db83revolt"
"1181","t_kantolamin"
"1182","t_harryo1975"
"1183","t_angelaw676"
"1184","t_suede_santoro"
"1185","t_nublackvision"
"1186","t_asim_the_great"
"1187","t_conscioussoul77"
"1188","t_ktla"
"1189","t_gunsguncontrol"
"1190","t_blackhistorymonth"
"1191","t_lynchingsinamerica"
"1192","t_bothered"
"1193","t_gunban"
"1194","t_httpstcobks1cekxod"
"1195","t_mosque"
"1196","t_linked"
"1197","t_trophy"
"1198","t_base"
"1199","t_commander"
"1200","t_missing"
"1201","t_militaryparade"
"1202","t_sadistic"
"1203","t_threatening"
"1204","t_running"
"1205","t_commonsensegunlaws"
"1206","t_httpstcoavdyxww9n8"
"1207","t_hood"
"1208","t_bloodmoney"
"1209","t_propaganda"
"1210","t_tyaranny"
"1211","t_ouch"
"1212","t_santorum"
"1213","t_hits"
"1214","t_nerve"
"1215","t_fatherlesssness"
"1216","t_httpstcoafftzd1hqm"
"1217","t_ocra"
"1218","t_newday"
"1219","t_libs"
"1220","t_benefits"
"1221","t_protected"
"1222","t_officer"
"1223","t_youtubecensorship"
"1224","t_xe2x9axa0xefxb8x8f"
"1225","t_xf0x9fx86x98"
"1226","t_worst"
"1227","t_realsaavedra"
"1228","t_ammo"
"1229","t_self"
"1230","t_insanity"
"1231","t_non"
"1232","t_searches"
"1233","t_wont"
"1234","t_google"
"1235","t_fully"
"1236","t_insane"
"1237","t_10000"
"1238","t_murdering"
"1239","t_deserve"
"1240","t_rate"
"1241","t_barackobamas"
"1242","t_httpstcozkcxgp6koxxe2x80xa6"
"1243","t_accurate"
"1244","t_informed"
"1245","t_profits"
"1246","t_dying"
"1247","t_crossfire"
"1248","t_georgiaxe2x80x99s"
"1249","t_grand"
"1250","t_eliminate"
"1251","t_jet"
"1252","t_save"
"1253","t_banassaultweaponsnow"
"1254","t_httpstco5sw8v3927y"
"1255","t_nrakillskids"
"1256","t_herexe2x80x99s"
"1257","t_httpstcoftdrrhbva8"
"1258","t_late"
"1259","t_america"
"1260","t_once"
"1261","t_whom"
"1262","t_knew"
"1263","t_funny"
"1264","t_liberallie"
"1265","t_area"
"1266","t_fort"
"1267","t_major"
"1268","t_hassan"
"1269","t_gunfreezone"
"1270","t_99"
"1271","t_httpstcokkzmhoyymp"
"1272","t_istandwiththenra"
"1273","t_httpstcohdqveevyjn"
"1274","t_funding"
"1275","t_sitting"
"1276","t_progressive"
"1277","t_closet"
"1278","t_putting"
"1279","t_plan"
"1280","t_father"
"1281","t_culture"
"1282","t_steverogersass"
"1283","t_bossportsaddict"
"1284","t_betoorourke"
"1285","t_reagan"
"1286","t_brady"
"1287","t_theresistance"
"1288","t_find"
"1289","t_victory"
"1290","t_httpstcou39kus0knw"
"1291","t_ps"
"1292","t_oregon"
"1293","t_thinks"
"1294","t_embarrassing"
"1295","t_wakeupamerica"
"1296","t_nramembership"
"1297","t_walking"
"1298","t_class"
"1299","t_playing"
